Comparison,Log-rank chi2,p_raw,p_bonf,sig,significant_bonferroni
UVC-6W-600s vs. UVC-6W-300s,46.53804512627618,8.98567876565216e-12,1.347851814847824e-10,***,True
UVC-6W-600s vs. UVC-6W-180s,72.88118708272559,1.3769446740199277e-17,2.0654170110298915e-16,***,True
UVC-6W-600s vs. UVC-6W-120s,76.46949254047524,2.2364130351512657e-18,3.354619552726899e-17,***,True
UVC-6W-600s vs. UVC-6W-60s,76.46949254047524,2.2364130351512657e-18,3.354619552726899e-17,***,True
UVC-6W-600s vs. UVC-6W-30s,82.92310178970935,8.530833097168318e-20,1.2796249645752478e-18,***,True
UVC-6W-300s vs. UVC-6W-180s,20.22359378169308,6.889792401308918e-06,0.00010334688601963377,***,True
UVC-6W-300s vs. UVC-6W-120s,32.80645600910796,1.018061666445686e-08,1.527092499668529e-07,***,True
UVC-6W-300s vs. UVC-6W-60s,60.64735087588532,6.827188505670419e-15,1.0240782758505629e-13,***,True
UVC-6W-300s vs. UVC-6W-30s,73.38741942721231,1.065430171992158e-17,1.598145257988237e-16,***,True
UVC-6W-180s vs. UVC-6W-120s,8.884824677961253,0.002875506545410394,0.043132598181155904,*,True
UVC-6W-180s vs. UVC-6W-60s,54.76075320630417,1.3613231516496517e-13,2.0419847274744773e-12,***,True
UVC-6W-180s vs. UVC-6W-30s,55.800182285238115,8.022410349871463e-14,1.2033615524807194e-12,***,True
UVC-6W-120s vs. UVC-6W-60s,48.898131850844806,2.6960741593366156e-12,4.044111239004923e-11,***,True
UVC-6W-120s vs. UVC-6W-30s,42.246681631357255,8.045641321825193e-11,1.206846198273779e-09,***,True
