Comparison,Log-rank chi2,p_raw,p_bonf,significant_alpha_0_005,sig,n_group1,n_group2,n_events_group1,n_events_group2
Overall (included curves),271.3748147176319,1.6122642581797845e-57,,True,***,,,,
Control (pooled) vs. 400-SHG-10mW-5s,74.58162023471331,5.818236940263488e-18,5.818236940263488e-17,True,***,97.0,36.0,15.0,29.0
Control (pooled) vs. 400-SHG-10mW-10s,91.57307835760618,1.0754624220778964e-21,1.0754624220778965e-20,True,***,97.0,36.0,15.0,31.0
Control (pooled) vs. 400-SHG-15mW-5s,142.11414682849897,9.181688337488992e-33,9.181688337488992e-32,True,***,97.0,38.0,15.0,37.0
Control (pooled) vs. 400-SHG-15mW-10s,176.4614680119385,2.871223539069591e-40,2.871223539069591e-39,True,***,97.0,38.0,15.0,38.0
400-SHG-10mW-5s vs. 400-SHG-10mW-10s,1.2994133704720154,0.25432040603292666,1.0,False,ns,36.0,36.0,29.0,31.0
400-SHG-10mW-5s vs. 400-SHG-15mW-5s,11.027607402911112,0.0008976492980029777,0.008976492980029777,False,ns,36.0,38.0,29.0,37.0
400-SHG-10mW-5s vs. 400-SHG-15mW-10s,48.29670204871949,3.663678652803146e-12,3.663678652803146e-11,True,***,36.0,38.0,29.0,38.0
400-SHG-10mW-10s vs. 400-SHG-15mW-5s,4.381514689219961,0.036330698386388735,0.3633069838638874,False,ns,36.0,38.0,31.0,37.0
400-SHG-10mW-10s vs. 400-SHG-15mW-10s,35.83306350156624,2.149686288454487e-09,2.1496862884544873e-08,True,***,36.0,38.0,31.0,38.0
400-SHG-15mW-5s vs. 400-SHG-15mW-10s,22.360499902106355,2.2597418329263134e-06,2.2597418329263134e-05,True,***,38.0,38.0,37.0,38.0
