egg_uid,analysis_group,dt_motion_stop_h,flags,death_mode
488,800-pulsed-330mW-120s,68.4,,necrotic_like
490,800-pulsed-330mW-120s,162.0,,necrotic_like
491,800-pulsed-330mW-120s,507.0,,necrotic_like
494,800-pulsed-330mW-120s,510.0,,necrotic_like
495,800-pulsed-330mW-120s,510.0,,necrotic_like
498,800-pulsed-330mW-120s,279.6,,necrotic_like
499,800-pulsed-330mW-120s,288.0,,necrotic_like
500,800-pulsed-330mW-120s,149.0,,necrotic_like
501,800-pulsed-330mW-120s,342.0,,necrotic_like
502,800-pulsed-330mW-120s,151.0,,necrotic_like
503,800-pulsed-330mW-120s,444.0,,necrotic_like
504,800-pulsed-330mW-120s,125.0,,necrotic_like
505,800-pulsed-330mW-120s,286.0,,apoptotic_like
506,800-pulsed-330mW-120s,80.0,,apoptotic_like
507,800-pulsed-330mW-120s,425.0,,necrotic_like
508,800-pulsed-330mW-120s,365.0,,necrotic_like
509,800-pulsed-330mW-120s,498.0,,necrotic_like
510,800-pulsed-330mW-120s,109.0,,necrotic_like
511,800-pulsed-330mW-120s,361.0,,necrotic_like
540,800-pulsed-330mW-60s,498.3,,necrotic_like
541,800-pulsed-330mW-60s,465.3,,uncertain
543,800-pulsed-330mW-60s,0.0,,uncertain
544,800-pulsed-330mW-60s,615.3,,uncertain
546,800-pulsed-330mW-60s,667.3,,uncertain
566,800-pulsed-330mW-60s,528.3,,necrotic_like
