duration,stage,omnibus_test,comparison,n_group1,n_group2,dunn_z,p_raw,p_holm,significant_0.05,sig
60s,2-cell,Kruskal-Wallis,cw vs pooled control,36,93,-2.1939725765241205,0.02823738110266607,0.02823738110266607,True,*
60s,2-cell,Kruskal-Wallis,pulsed vs pooled control,34,93,4.962346635224672,6.964655540498301e-07,1.3929311080996602e-06,True,***
60s,4-cell,Kruskal-Wallis,cw vs pooled control,36,93,-1.7137608185534183,0.08657266204518968,0.08657266204518968,False,ns
60s,4-cell,Kruskal-Wallis,pulsed vs pooled control,34,93,5.121118328856594,3.037289729518719e-07,6.074579459037438e-07,True,***
60s,Bean,Kruskal-Wallis,cw vs pooled control,36,93,-1.9472618175298493,0.05150335384428291,0.05150335384428291,False,ns
60s,Bean,Kruskal-Wallis,pulsed vs pooled control,34,93,3.8893907612492664,0.00010049619180673579,0.00020099238361347157,True,***
60s,Motion,Kruskal-Wallis,cw vs pooled control,36,93,-1.5988255664207058,0.10985936658626672,0.10985936658626672,False,ns
60s,Motion,Kruskal-Wallis,pulsed vs pooled control,34,93,5.083532696695974,3.7047876798468675e-07,7.409575359693735e-07,True,***
120s,2-cell,Kruskal-Wallis,cw vs pooled control,13,93,-0.6749841091448348,0.49968586100414647,0.49968586100414647,False,ns
120s,2-cell,Kruskal-Wallis,pulsed vs pooled control,35,93,3.9285530980421766,8.545848323095065e-05,0.0001709169664619013,True,***
120s,4-cell,Kruskal-Wallis,cw vs pooled control,13,93,-0.6820922512854944,0.49518061999504204,0.49518061999504204,False,ns
120s,4-cell,Kruskal-Wallis,pulsed vs pooled control,35,93,4.023212274552328,5.740970873490256e-05,0.00011481941746980512,True,***
120s,Bean,Kruskal-Wallis,cw vs pooled control,13,93,-1.1642890551325846,0.24430689050744991,0.24430689050744991,False,ns
120s,Bean,Kruskal-Wallis,pulsed vs pooled control,35,93,4.819244739409552,1.4410269397318969e-06,2.8820538794637937e-06,True,***
120s,Motion,Kruskal-Wallis,cw vs pooled control,13,93,0.2272020658810616,0.8202666213593873,0.8202666213593873,False,ns
120s,Motion,Kruskal-Wallis,pulsed vs pooled control,35,93,5.3346265166926194,9.574141414121597e-08,1.9148282828243195e-07,True,***
