duration,stage,n_cw,n_pulsed,n_pooled_control,normality_p_cw,normality_p_pulsed,normality_p_pooled_control,all_groups_normal,selected_test,test_statistic,p_value,significant_0.05,sig
30s,2-cell,37,39,93,0.009622878296570903,0.7774942498795459,0.0891283186095881,False,Kruskal-Wallis,1.081560254526975,0.5822938118583287,False,ns
30s,4-cell,37,39,93,0.0017760168372891734,0.8238341934229132,0.3258517292560847,False,Kruskal-Wallis,0.2908243302072328,0.8646658345726022,False,ns
30s,Bean,37,39,93,0.0011094659532219033,0.037724950774382905,0.017839186486735027,False,Kruskal-Wallis,2.8215201260862384,0.2439577893691014,False,ns
30s,Motion,37,39,93,0.010768920958299132,0.10620171566902677,0.046235071472477775,False,Kruskal-Wallis,5.019247497186494,0.081298822283326,False,ns
60s,2-cell,36,34,93,0.08345113641665154,0.009745851613807787,0.0891283186095881,False,Kruskal-Wallis,38.2476604957447,4.950237667548115e-09,True,***
60s,4-cell,36,34,93,0.4777569994755301,0.013050279099620813,0.3258517292560847,False,Kruskal-Wallis,36.70271255161044,1.0717839124761892e-08,True,***
60s,Bean,36,34,93,0.675842732783847,0.08672574534334716,0.017839186486735027,False,Kruskal-Wallis,24.921387531147435,3.876050769583751e-06,True,***
60s,Motion,36,34,93,0.05595660964035809,0.12564039324335347,0.046235071472477775,False,Kruskal-Wallis,35.493468511270486,1.9619649338286586e-08,True,***
120s,2-cell,13,35,93,0.003966725025183577,0.35892622226125065,0.0891283186095881,False,Kruskal-Wallis,17.44534849250798,0.0001628511041247957,True,***
120s,4-cell,13,35,93,0.03815136103481608,0.7665591810671047,0.3258517292560847,False,Kruskal-Wallis,18.269205042283353,0.0001078679762089963,True,***
120s,Bean,13,35,93,0.8528125461469321,0.14317733719877643,0.017839186486735027,False,Kruskal-Wallis,27.559932544997174,1.0361835349823805e-06,True,***
120s,Motion,13,35,93,0.9226480194819778,0.12375265569795764,0.046235071472477775,False,Kruskal-Wallis,29.039795091234286,4.944115617710398e-07,True,***
