delta_group,comparison,n_group1,n_group2,median_group1_h,median_group2_h,median_diff_h_(g2-g1),mean_group1_h,mean_group2_h,mean_diff_h_(g2-g1),sd_group1_h,sd_group2_h,p_holm,sig
delta_2c_4c,400nm SHG 10mW 2s vs UVC 6W 2s,18,31,33.0,17.700000000000003,-15.299999999999997,42.833333333333336,18.187096774193552,-24.646236559139783,36.116233925219504,4.264484489007933,0.00013887047032408272,***
delta_2c_4c,800nm pulsed 120s vs 400nm SHG 10mW 2s,35,18,16.5,33.0,16.5,17.502857142857142,42.833333333333336,25.330476190476194,3.1356100555024486,36.116233925219504,3.508262418217854e-05,***
delta_2c_4c,800nm pulsed 120s vs UVC 6W 5s,35,29,16.5,22.599999999999994,6.099999999999994,17.502857142857142,27.589655172413792,10.08679802955665,3.1356100555024486,12.13549530531897,1.4419270190721053e-05,***
delta_2c_4c,Pooled control vs 400nm SHG 10mW 2s,93,18,15.0,33.0,18.0,15.533333333333335,42.833333333333336,27.3,3.902071170582343,36.116233925219504,1.3555835554652299e-08,***
delta_2c_4c,Pooled control vs 800nm pulsed 120s,93,35,15.0,16.5,1.5,15.533333333333335,17.502857142857142,1.9695238095238068,3.902071170582343,3.1356100555024486,0.0030460603575396764,**
delta_2c_4c,Pooled control vs UVC 6W 2s,93,31,15.0,17.700000000000003,2.700000000000003,15.533333333333335,18.187096774193552,2.6537634408602173,3.902071170582343,4.264484489007933,0.0030460603575396764,**
delta_2c_4c,Pooled control vs UVC 6W 5s,93,29,15.0,22.599999999999994,7.599999999999994,15.533333333333335,27.589655172413792,12.056321839080457,3.902071170582343,12.13549530531897,1.1964705594369346e-10,***
delta_2c_4c,UVC 6W 2s vs UVC 6W 5s,31,29,17.700000000000003,22.599999999999994,4.8999999999999915,18.187096774193552,27.589655172413792,9.40255839822024,4.264484489007933,12.13549530531897,0.00013887047032408272,***
delta_4c_bean,800nm pulsed 120s vs UVC 6W 5s,35,27,123.0,145.0,22.0,128.33142857142855,146.15185185185186,17.820423280423313,23.726725703413905,22.31812596162022,0.009154421035398853,**
delta_4c_bean,Pooled control vs 400nm SHG 10mW 2s,93,17,111.0,143.0,32.0,112.30645161290325,151.64705882352942,39.340607210626175,12.95759644958704,40.964834273542756,9.336095755183906e-05,***
delta_4c_bean,Pooled control vs 800nm pulsed 120s,93,35,111.0,123.0,12.0,112.30645161290325,128.33142857142855,16.0249769585253,12.95759644958704,23.726725703413905,0.0013881853912482262,**
delta_4c_bean,Pooled control vs UVC 6W 2s,93,31,111.0,127.0,16.0,112.30645161290325,130.79032258064518,18.483870967741936,12.95759644958704,19.64732984129073,2.62686056792325e-07,***
delta_4c_bean,Pooled control vs UVC 6W 5s,93,27,111.0,145.0,34.0,112.30645161290325,146.15185185185186,33.84540023894861,12.95759644958704,22.31812596162022,2.9317149523062816e-10,***
delta_4c_bean,UVC 6W 2s vs UVC 6W 5s,31,27,127.0,145.0,18.0,130.79032258064518,146.15185185185186,15.361529271206678,19.64732984129073,22.31812596162022,0.008367435600281374,**
delta_bean_move,400nm SHG 10mW 2s vs UVC 6W 2s,16,31,32.5,20.400000000000006,-12.099999999999994,32.9375,21.70967741935484,-11.22782258064516,9.726038933365079,5.268545329829962,0.00022189683524503442,***
delta_bean_move,400nm SHG 10mW 2s vs UVC 6W 5s,16,27,32.5,24.0,-8.5,32.9375,24.65555555555556,-8.281944444444441,9.726038933365079,6.281801146249828,0.001489058785664158,**
delta_bean_move,800nm pulsed 120s vs UVC 6W 2s,35,31,27.099999999999994,20.400000000000006,-6.699999999999989,28.111428571428572,21.70967741935484,-6.401751152073732,7.75828860102579,5.268545329829962,0.0010989286329883283,**
delta_bean_move,Pooled control vs 400nm SHG 10mW 2s,93,16,21.0,32.5,11.5,22.247311827956988,32.9375,10.690188172043012,5.45197593613803,9.726038933365079,1.751868446698137e-05,***
delta_bean_move,Pooled control vs 800nm pulsed 120s,93,35,21.0,27.099999999999994,6.099999999999994,22.247311827956988,28.111428571428572,5.864116743471584,5.45197593613803,7.75828860102579,3.669432446185521e-05,***
